┌───────┬─────────┬─────────┬───────────────┐
│   a   │    s    │    b    │       d       │
│ int64 │ varchar │ boolean │ decimal(21,1) │
├───────┼─────────┼─────────┼───────────────┤
│     0 │ 0       │ true    │           0.0 │
│     1 │ 1       │ false   │           1.5 │
│     2 │ 2       │ true    │           3.0 │
│     3 │ 3       │ false   │           4.5 │
│     4 │ 4       │ true    │           6.0 │
│     5 │ 5       │ false   │           7.5 │
│     6 │ 6       │ true    │           9.0 │
│     7 │ 7       │ false   │          10.5 │
│     8 │ 8       │ true    │          12.0 │
│     9 │ 9       │ false   │          13.5 │
│    10 │ 10      │ true    │          15.0 │
│    11 │ 11      │ false   │          16.5 │
│    12 │ 12      │ true    │          18.0 │
│    13 │ 13      │ false   │          19.5 │
│    14 │ 14      │ true    │          21.0 │
│    15 │ 15      │ false   │          22.5 │
│    16 │ 16      │ true    │          24.0 │
│    17 │ 17      │ false   │          25.5 │
│    18 │ 18      │ true    │          27.0 │
│    19 │ 19      │ false   │          28.5 │
│     · │ ·       │  ·      │            ·  │
│     · │ ·       │  ·      │            ·  │
│     · │ ·       │  ·      │            ·  │
│    24 │ 24      │ true    │          36.0 │
│    25 │ 25      │ false   │          37.5 │
│    26 │ 26      │ true    │          39.0 │
│    27 │ 27      │ false   │          40.5 │
│    28 │ 28      │ true    │          42.0 │
│    29 │ 29      │ false   │          43.5 │
│    30 │ 30      │ true    │          45.0 │
│    31 │ 31      │ false   │          46.5 │
│    32 │ 32      │ true    │          48.0 │
│    33 │ 33      │ false   │          49.5 │
│    34 │ 34      │ true    │          51.0 │
│    35 │ 35      │ false   │          52.5 │
│    36 │ 36      │ true    │          54.0 │
│    37 │ 37      │ false   │          55.5 │
│    38 │ 38      │ true    │          57.0 │
│    39 │ 39      │ false   │          58.5 │
│    40 │ 40      │ true    │          60.0 │
│    41 │ 41      │ false   │          61.5 │
│    42 │ 42      │ true    │          63.0 │
│    43 │ 43      │ false   │          64.5 │
└───────┴─────────┴─────────┴───────────────┘
  44 rows (40 shown)              4 columns
