a,b,s,d,flag,day,t
0,0,,0.0,true,1970-01-01,2013-07-15 10:00:00
1,1000,tag1,1.5,false,1970-01-02,2013-07-15 10:00:01
2,2000,tag2,3.0,true,1970-01-03,2013-07-15 10:00:02
3,3000,tag3,4.5,false,1970-01-04,2013-07-15 10:00:03
4,4000,tag4,6.0,true,1970-01-05,2013-07-15 10:00:04
5,5000,tag0,7.5,false,1970-01-06,2013-07-15 10:00:05
6,6000,tag1,9.0,true,1970-01-07,2013-07-15 10:00:06
7,7000,,10.5,false,1970-01-08,2013-07-15 10:00:07
8,8000,tag3,12.0,true,1970-01-09,2013-07-15 10:00:08
9,9000,tag4,13.5,false,1970-01-10,2013-07-15 10:00:09
10,10000,tag0,15.0,true,1970-01-11,2013-07-15 10:00:10
11,11000,tag1,16.5,false,1970-01-12,2013-07-15 10:00:11
12,12000,tag2,18.0,true,1970-01-13,2013-07-15 10:00:12
13,13000,tag3,19.5,false,1970-01-14,2013-07-15 10:00:13
14,14000,,21.0,true,1970-01-15,2013-07-15 10:00:14
15,15000,tag0,22.5,false,1970-01-16,2013-07-15 10:00:15
16,16000,tag1,24.0,true,1970-01-17,2013-07-15 10:00:16
17,17000,tag2,25.5,false,1970-01-18,2013-07-15 10:00:17
18,18000,tag3,27.0,true,1970-01-19,2013-07-15 10:00:18
19,19000,tag4,28.5,false,1970-01-20,2013-07-15 10:00:19
20,20000,tag0,30.0,true,1970-01-21,2013-07-15 10:00:20
21,21000,,31.5,false,1970-01-22,2013-07-15 10:00:21
22,22000,tag2,33.0,true,1970-01-23,2013-07-15 10:00:22
23,23000,tag3,34.5,false,1970-01-24,2013-07-15 10:00:23
24,24000,tag4,36.0,true,1970-01-25,2013-07-15 10:00:24
25,25000,tag0,37.5,false,1970-01-26,2013-07-15 10:00:25
26,26000,tag1,39.0,true,1970-01-27,2013-07-15 10:00:26
27,27000,tag2,40.5,false,1970-01-28,2013-07-15 10:00:27
28,28000,,42.0,true,1970-01-29,2013-07-15 10:00:28
29,29000,tag4,43.5,false,1970-01-30,2013-07-15 10:00:29
30,30000,tag0,45.0,true,1970-01-31,2013-07-15 10:00:30
31,31000,tag1,46.5,false,1970-02-01,2013-07-15 10:00:31
32,32000,tag2,48.0,true,1970-02-02,2013-07-15 10:00:32
33,33000,tag3,49.5,false,1970-02-03,2013-07-15 10:00:33
34,34000,tag4,51.0,true,1970-02-04,2013-07-15 10:00:34
35,35000,,52.5,false,1970-02-05,2013-07-15 10:00:35
36,36000,tag1,54.0,true,1970-02-06,2013-07-15 10:00:36
37,37000,tag2,55.5,false,1970-02-07,2013-07-15 10:00:37
38,38000,tag3,57.0,true,1970-02-08,2013-07-15 10:00:38
39,39000,tag4,58.5,false,1970-02-09,2013-07-15 10:00:39
40,40000,tag0,60.0,true,1970-02-10,2013-07-15 10:00:40
41,41000,tag1,61.5,false,1970-02-11,2013-07-15 10:00:41
42,42000,,63.0,true,1970-02-12,2013-07-15 10:00:42
43,43000,tag3,64.5,false,1970-02-13,2013-07-15 10:00:43
44,44000,tag4,66.0,true,1970-02-14,2013-07-15 10:00:44
45,45000,tag0,67.5,false,1970-02-15,2013-07-15 10:00:45
46,46000,tag1,69.0,true,1970-02-16,2013-07-15 10:00:46
47,47000,tag2,70.5,false,1970-02-17,2013-07-15 10:00:47
48,48000,tag3,72.0,true,1970-02-18,2013-07-15 10:00:48
49,49000,,73.5,false,1970-02-19,2013-07-15 10:00:49
50,50000,tag0,75.0,true,1970-02-20,2013-07-15 10:00:50
